Day,A,B,C
Epiphany 8B / Proper 3,,"Psalm 103:1-13,22;Hosea 2:14-20;Mark 2:13-22;2 Corinthians 3:1-6",
Epiphany 8C / Proper 3,,,"Psalm 92:1-4,11-14;Isaiah 55:10-13;Sirach (Ecclesiasticus) 27:4-7;Luke 6:39-49;1 Corinthians 15:51-58"
Ash Wednesday,"Psalm 103;Isaiah 58:1-12;Joel 2:1-2,12-17;Matthew 6:1-6,16-21;2 Corinthians 5:20b—6:10","Psalm 103;Isaiah 58:1-12;Joel 2:1-2,12-17;Matthew 6:1-6,16-21;2 Corinthians 5:20b—6:10","Psalm 103;Isaiah 58:1-12;Joel 2:1-2,12-17;Matthew 6:1-6,16-21;2 Corinthians 5:20b—6:10"
Lent 1,Genesis 2:15-17; 3:1-7;Psalm 32;Matthew 4:1-11;Romans 5:12-19,Genesis 9:8-17;Psalm 25:1-9;Mark 1:9-15;1 Peter 3:18-22,"Deuteronomy 26:1-11;Psalm 91:1-2,9-16;Luke 4:1-13;Romans 10:8b-13"
Lent 2,"Genesis 12:1-4a;Psalm 121;John 3:1-17;Romans 4:1-5,13-17","Genesis 17:1-7,15-16;Psalm 22:22-30;Mark 8:31-38;Romans 4:13-25","Genesis 15:1-12,17-18;Psalm 27;Luke 13:31-35;Philippians 3:17—4:1"
Lent 3,Exodus 17:1-7;Psalm 95;John 4:5-42;Romans 5:1-11,Exodus 20:1-17;Psalm 19;John 2:13-22;1 Corinthians 1:18-25,Exodus 3:1-15;Psalm 63:1-8;Luke 13:1-9;1 Corinthians 10:1-13
Lent 4,1 Samuel 16:1-13;Psalm 23;John 9:1-41;Ephesians 5:8-14,"Numbers 21:4-9;Psalm 107:1-3,17-22;John 3:14-21;Ephesians 2:1-10","Joshua 5:9-12;Psalm 32;Luke 15:1-3,11b-32;2 Corinthians 5:16-21"
Lent 5,Psalm 130;Ezekiel 37:1-14;John 11:1-45;Romans 8:6-11,Psalm 51:1-13;Psalm 119:9-16;Jeremiah 31:31-34;John 12:20-33;Hebrews 5:5-10,Psalm 126;Isaiah 43:16-21;John 12:1-8;Philippians 3:4b-14
Palm Sunday,"Psalm 118:1-2,19-29;Matthew 21:1-11;Matthew 26:14—27:66;Matthew 27:11-54;Philippians 2:5-11","Psalm 118:1-2,19-29;Mark 11:1-11;Mark 14:1—15:47;Mark 15:1-39,(40-47);John 12:12-16;Philippians 2:5-11","Psalm 118:1-2,19-29;Luke 19:28-40;Luke 22:14—23:56;Luke 23:1-49;Philippians 2:5-11"
"Palm Sunday A,B.C",Isaiah 50:4-9a,Isaiah 50:4-9a,Isaiah 50:4-9a
Monday in Holy Week,Psalm 36:5-11;Isaiah 42:1-9;John 12:1-11;Hebrews 9:11-15,Psalm 36:5-11;Isaiah 42:1-9;John 12:1-11;Hebrews 9:11-15,Psalm 36:5-11;Isaiah 42:1-9;John 12:1-11;Hebrews 9:11-15
Tuesday in Holy Week,Psalm 71:1-14;Isaiah 49:1-7;John 12:20-36;1 Corinthians 1:18-31,Psalm 71:1-14;Isaiah 49:1-7;John 12:20-36;1 Corinthians 1:18-31,Psalm 71:1-14;Isaiah 49:1-7;John 12:20-36;1 Corinthians 1:18-31
Wednesday in Holy Week,Psalm 70;Isaiah 50:4-9a;John 13:21-32;Hebrews 12:1-3,Psalm 70;Isaiah 50:4-9a;John 13:21-32;Hebrews 12:1-3,Psalm 70;Isaiah 50:4-9a;John 13:21-32;Hebrews 12:1-3
Maundy Thursday,"Exodus 12:1-4,(5-10),11-14;Psalm 116:1,10-17;John 13:1-17,31b-35;1 Corinthians 11:23-26","Exodus 12:1-4,(5-10),11-14;Psalm 116:1,10-17;John 13:1-17,31b-35;1 Corinthians 11:23-26","Exodus 12:1-4,(5-10),11-14;Psalm 116:1,10-17;John 13:1-17,31b-35;1 Corinthians 11:23-26"
Good Friday,Psalm 22;Isaiah 52:13—53:12;John 18:1–19:42;Hebrews 4:14-16; 5:7-9;Hebrews 10:16-25,Psalm 22;Isaiah 52:13—53:12;John 18:1–19:42;Hebrews 4:14-16; 5:7-9;Hebrews 10:16-25,Psalm 22;Isaiah 52:13—53:12;John 18:1–19:42;Hebrews 4:14-16; 5:7-9;Hebrews 10:16-25
Easter Evening,Psalm 114;Isaiah 25:6-9;Luke 24:13-49;1 Corinthians 5:6b-8,Psalm 114;Isaiah 25:6-9;Luke 24:13-49;1 Corinthians 5:6b-8,Psalm 114;Isaiah 25:6-9;Luke 24:13-49;1 Corinthians 5:6b-8
Easter Vigil,"Genesis 1:1—2:4a;Genesis 7:1-5,11-18;8:6-18; 9:8-13;Genesis 22:1-18;Exodus 14:10-31; 15:20-21;Psalm 16;Psalm 19;Psalm 42;Psalm 43;Psalm 46;Psalm 98;Psalm 114;Psalm 136:1-9,23-26;Psalm 143;Proverbs 8:1-8,19-21;9:4b-6;Isaiah 55:1-11;Ezekiel 36:24-28;Ezekiel 37:1-14;Zephaniah 3:14-20;Baruch 3:9-15,32—4:4;Matthew 28:1-10;Romans 6:3-11;Canticle 8;Canticle 9","Genesis 1:1—2:4a;Genesis 7:1-5,11-18;8:6-18; 9:8-13;Genesis 22:1-18;Exodus 14:10-31; 15:20-21;Psalm 16;Psalm 19;Psalm 42;Psalm 43;Psalm 46;Psalm 98;Psalm 114;Psalm 136:1-9,23-26;Psalm 143;Proverbs 8:1-8,19-21;9:4b-6;Isaiah 55:1-11;Ezekiel 36:24-28;Ezekiel 37:1-14;Zephaniah 3:14-20;Baruch 3:9-15,32—4:4;Mark 16:1-8;Romans 6:3-11;Canticle 8;Canticle 9","Genesis 1:1—2:4a;Genesis 7:1-5,11-18;8:6-18; 9:8-13;Genesis 22:1-18;Exodus 14:10-31; 15:20-21;Psalm 16;Psalm 19;Psalm 42;Psalm 43;Psalm 46;Psalm 98;Psalm 114;Psalm 136:1-9,23-26;Psalm 143;Proverbs 8:1-8,19-21;9:4b-6;Isaiah 55:1-11;Ezekiel 36:24-28;Ezekiel 37:1-14;Zephaniah 3:14-20;Baruch 3:9-15,32—4:4;Luke 24:1-12;Romans 6:3-11;Canticle 8;Canticle 9"
Easter Day,"Psalm 118:1-2,14-24;Jeremiah 31:1-6;Matthew 28:1-10;John 20:1-18;Acts 10:34-43;Colossians 3:1-4","Psalm 118:1-2,14-24;Isaiah 25:6-9;Mark 16:1-8;John 20:1-18;Acts 10:34-43;1 Corinthians 15:1-11","Psalm 118:1-2,14-24;Isaiah 65:17-25;Luke 24:1-12;John 20:1-18;Acts 10:34-43;1 Corinthians 15:19-26"
Monday in Easter Week,"Psalm 16:8-11;Psalm 118:19-24;Matthew 28:9-15;Acts 2:14,22b-32","Psalm 16:8-11;Psalm 118:19-24;Matthew 28:9-15;Acts 2:14,22b-32","Psalm 16:8-11;Psalm 118:19-24;Matthew 28:9-15;Acts 2:14,22b-32"
Tuesday in Easter Week,Psalm 33:18-22;Psalm 118:19-24;John 20:11-18;Acts 2:36-41,Psalm 33:18-22;Psalm 118:19-24;John 20:11-18;Acts 2:36-41,Psalm 33:18-22;Psalm 118:19-24;John 20:11-18;Acts 2:36-41
Thursday in Easter Week,Psalm 8;Psalm 114;Psalm 118:19-24;Luke 24:36b-48;Acts 3:11-26,Psalm 8;Psalm 114;Psalm 118:19-24;Luke 24:36b-48;Acts 3:11-26,Psalm 8;Psalm 114;Psalm 118:19-24;Luke 24:36b-48;Acts 3:11-26
Friday in Easter Week,Psalm 116:1-8;Psalm 118:19-24;John 21:1-14;Acts 4:1-12,Psalm 116:1-8;Psalm 118:19-24;John 21:1-14;Acts 4:1-12,Psalm 116:1-8;Psalm 118:19-24;John 21:1-14;Acts 4:1-12
Saturday in Easter Week,"Psalm 118:14-18;Psalm 118:19-24;Mark 16:9-15,20;Acts 4:13-21","Psalm 118:14-18;Psalm 118:19-24;Mark 16:9-15,20;Acts 4:13-21","Psalm 118:14-18;Psalm 118:19-24;Mark 16:9-15,20;Acts 4:13-21"
Wednesday in Easter Week,Psalm 105:1-8;Psalm 118:19-24;Luke 24:13-35;Acts 3:1-10,Psalm 105:1-8;Psalm 118:19-24;Luke 24:13-35;Acts 3:1-10,Psalm 105:1-8;Psalm 118:19-24;Luke 24:13-35;Acts 3:1-10
Easter 2,"Psalm 16;John 20:19-31;Acts 2:14a,22-32;1 Peter 1:3-9",Psalm 133;John 20:19-31;Acts 4:32-35;1 John 1:1—2:2,Psalm 118:14-29;Psalm 150;John 20:19-31;Acts 5:27-32;Revelation 1:4-8
Easter 3,"Psalm 116:1-3,10-17;Luke 24:13-35;Acts 2:14a,36-41;1 Peter 1:17-23",Psalm 4;Luke 24:36b-48;Acts 3:12-19;1 John 3:1-7,"Psalm 30;John 21:1-19;Acts 9:1-6,(7-20);Revelation 5:11-14"
Easter 4,Psalm 23;John 10:1-10;Acts 2:42-47;1 Peter 2:19-25,Psalm 23;John 10:11-18;Acts 4:5-12;1 John 3:16-24,Psalm 23;John 10:22-30;Acts 9:36-43;Revelation 7:9-17
Easter 5,"Psalm 31:1-5,15-16;John 14:1-14;Acts 7:55-60;1 Peter 2:2-10",Psalm 22:24-30;John 15:1-8;Acts 8:26-40;1 John 4:7-21,Psalm 148;John 13:31-35;Acts 11:1-18;Revelation 21:1-6
Easter 6,Psalm 66:7-18;John 14:15-21;Acts 17:22-31;1 Peter 3:13-22,Psalm 98;John 15:9-17;Acts 10:44-48;1 John 5:1-6,"Psalm 67;John 5:1-9;John 14:23-29;Acts 16:9-15;Revelation 21:10,22—22:5"
Easter 7,"Psalm 68:1-10,33-36;John 17:1-11;Acts 1:6-14;1 Peter 4:12-14,5:6-11","Psalm 1;John 17:6-19;Acts 1:15-17,21-26;1 John 5:9-13","Psalm 97;John 17:20-26;Acts 16:16-34;Revelation 22:12-14,16-17,20-21"
All Saints,"Psalm 34:1-10,22;Matthew 5:1-12;1 John 3:1-3;Revelation 7:9-17",Psalm 24;Isaiah 25:6-9;Wisdom of Solomon 3:1-9;John 11:32-44;Revelation 21:1-6a,"Psalm 149;Daniel 7:1-3,15-18;Luke 6:20-31;Ephesians 1:11-23"
Ascension Day,Psalm 47;Psalm 93;Luke 24:44-53;Acts 1:1-11;Ephesians 1:15-23,Psalm 47;Psalm 93;Luke 24:44-53;Acts 1:1-11;Ephesians 1:15-23,Psalm 47;Psalm 93;Luke 24:44-53;Acts 1:1-11;Ephesians 1:15-23
Vigil of Pentecost,"Genesis 11:1-9;Exodus 19:1-9a,16-20a;20:18-20;Psalm 33:12-22;Psalm 104:25-32;Psalm 130;Ezekiel 37:1-14;Joel 2:28-32;John 7:37-39a;Acts 2:1-11;Romans 8:14-17,22-27;Canticle 2;Canticle 13","Genesis 11:1-9;Exodus 19:1-9a,16-20a;20:18-20;Psalm 33:12-22;Psalm 104:25-32;Psalm 130;Ezekiel 37:1-14;Joel 2:28-32;John 7:37-39a;Acts 2:1-11;Romans 8:14-17,22-27;Canticle 2;Canticle 13","Genesis 11:1-9;Exodus 19:1-9a,16-20a;20:18-20;Psalm 33:12-22;Psalm 104:25-32;Psalm 130;Ezekiel 37:1-14;Joel 2:28-32;John 7:37-39a;Acts 2:1-11;Romans 8:14-17,22-27;Canticle 2;Canticle 13"
Day of Pentecost,"Numbers 11:24-30;Psalm 104:25-35,37;John 7:37-39;John 20:19-23;Acts 2:1-21;1 Corinthians 12:3b-13","Psalm 104:25-35,37;Ezekiel 37:1-14;John 15:26-27; 16:4b-15;Acts 2:1-21;Romans 8:22-27","Genesis 11:1-9;Psalm 104:25-35,37;John 14:8-17,(25-27);Acts 2:1-21;Romans 8:14-17"
Trinity Sunday,Genesis 1:1—2:4a;Psalm 8;Matthew 28:16-20;2 Corinthians 13:11-13;Canticle 2;Canticle 13,Psalm 29;Isaiah 6:1-8;John 3:1-17;Romans 8:12-17;Canticle 2;Canticle 13,"Psalm 8;Proverbs 8:1-4, 22-31;John 16:12-15;Romans 5:1-5;Canticle 2;Canticle 13"
Proper 4,"Genesis 6:9-22;7:24; 8:14-19;Deuteronomy 11:18-21,26-28;Psalm 31:1-5,19-24;Psalm 46;Matthew 7:21-29;Romans 1:16-17; 3:22b-28,(29-31)","Deuteronomy 5:12-15;1 Samuel 3:1-10,(11-20);Psalm 81:1-10;Psalm 139:1-5,12-17;Mark 2:23—3:6;2 Corinthians 4:5-12","1 Kings 8:22-23,41-43;1 Kings 18:20-21 (22-29),30-39;Psalm 96;Psalm 96:1-9;Luke 7:1-10;Galatians 1:1-12"
Proper 5,"Genesis 12:1-9;Psalm 33:1-12;Psalm 50:7-15;Hosea 5:15—6:6;Matthew 9:9-13,18-26;Romans 4:13-25","Genesis 3:8-15;1 Samuel 8:4-11(12-15),16-20(11:14-15);Psalm 130;Psalm 138;Mark 3:20-35;2 Corinthians 4:13—5:1",1 Kings 17:8-16(17-24);1 Kings 17:17-24;Psalm 30;Psalm 146;Luke 7:11-17;Galatians 1:11-24
Proper 6,"Genesis 18:1-15, (21:1-7);Exodus 19:2-8a;Psalm 100;Psalm 116:1,10-17;Matthew 9:35—10:8,(9-23);Romans 5:1-8","1 Samuel 15:34—16:13;Psalm 20;Psalm 92:1-4,11-14;Ezekiel 17:22-24;Mark 4:26-34;2 Corinthians 5: 6-10, (11-13),14-17","2 Samuel 11:26—12:10,13-15;1 Kings 21:1-10, (11-14),15-21a;Psalm 5:1-8;Psalm 32;Luke 7:36—8:3;Galatians 2:15-21"
Proper 7,"Genesis 21:8-21;Psalm 69: 8-11,(12-17),18-20;Psalm 86:1-10,16-17;Jeremiah 20:7-13;Matthew 10:24-39;Romans 6:1b-11","1 Samuel 17:(1a,4-11, 19-23),32-49;1 Samuel 17:57—18:5,10-16;Job 38:1-11;Psalm 9:9-20;Psalm 107:1-3,23-32;Psalm 133;Mark 4:35-41;2 Corinthians 6:1-13","1 Kings 19:1-4,(5-7), 8-15a;Psalm 22:18-27;Psalm 42;Psalm 43;Isaiah 65:1-9;Luke 8:26-39;Galatians 3:23-29"
Proper 8,"Genesis 22:1-14;Psalm 13;Psalm 89:1-4,15-18;Jeremiah 28:5-9;Matthew 10:40-42;Romans 6:12-23","2 Samuel 1:1,17-27;Psalm 30;Psalm 130;Lamentations 3:21-33;Wisdom of Solomon 1:13-15; 2:23-24;Mark 5:21-43;2 Corinthians 8:7-15","1 Kings 19:15-16,19-21;2 Kings 2:1-2,6-14;Psalm 16;Psalm 77:1-2,11-20;Luke 9:51-62;Galatians 5:1,13-25"
Proper 9,"Genesis 24:34-38, 42-49,58-67;Psalm 45:11-18;Psalm 145:8-15;Song of Solomon 2:8-13;Zechariah 9:9-12;Matthew 11:16-19,25-30;Romans 7:15-25a","2 Samuel 5:1-5,9-10;Psalm 48;Psalm 123;Ezekiel 2:1-5;Mark 6:1-13;2 Corinthians 12:2-10","2 Kings 5:1-14;Psalm 30;Psalm 66:1-8;Isaiah 66:10-14;Luke 10:1-11,16-20;Galatians 6:(1-6),7-16"
Proper 10,"Genesis 25:19-34;Psalm 65:(1-8),9-14;Psalm 119:105-112;Isaiah 55:10-13;Matthew 13:1-9,18-23;Romans 8:1-11","2 Samuel 6:1-5,12b-19;Psalm 24;Psalm 85:8-13;Amos 7:7-15;Mark 6:14-29;Ephesians 1:3-14",Deuteronomy 30:9-14;Psalm 25:1-9;Psalm 82;Amos 7:7-17;Luke 10:25-37;Colossians 1:1-14
Proper 11,"Genesis 28:10-19a;Psalm 86:11-17;Psalm 139:1-11,22-23;Isaiah 44:6-8;Wisdom of Solomon 12:13,16-19;Matthew 13:24-30,36-43;Romans 8:12-25","2 Samuel 7:1-14a;Psalm 23;Psalm 89:20-37;Jeremiah 23:1-6;Mark 6:30-34,53-56;Ephesians 2:11-22",Genesis 18:1-10a;Psalm 15;Psalm 52;Amos 8:1-12;Luke 10:38-42;Colossians 1:15-28
Proper 12,"Genesis 29:15-28;1 Kings 3:5-12;Psalm 105:1-11,45b;Psalm 119:129-136;Psalm 128;Matthew 13:31-33,44-52;Romans 8:26-39",2 Samuel 11:1-15;2 Kings 4:42-44;Psalm 14;Psalm 145:10-19;John 6:1-21;Ephesians 3:14-21,"Genesis 18:20-32;Psalm 85;Psalm 138;Hosea 1:2-10;Luke 11:1-13;Colossians 2:6-15,(16-19)"
Proper 13,"Genesis 32:22-31;Psalm 17:1-7,16;Psalm 145:8-9,15-22;Isaiah 55:1-5;Matthew 14:13-21;Romans 9:1-5","Exodus 16:2-4,9-15;2 Samuel 11:26—12:13a;Psalm 51:1-13;Psalm 78:23-29;John 6:24-35;Ephesians 4:1-16","Psalm 49:1-11;Psalm 107:1-9,43;Ecclesiastes 1:2,12-14; 2:18-23;Hosea 11:1-11;Luke 12:13-21;Colossians 3:1-11"
Proper 14,"Genesis 37:1-4,12-28;1 Kings 19:9-18;Psalm 85:8-13;Psalm 105:1-6,16-22,45b;Matthew 14:22-33;Romans 10:5-15","2 Samuel 18:5-9, 15, 31-33;1 Kings 19:4-8;Psalm 34:1-8;Psalm 130;John 6:35,41-51;Ephesians 4:25—5:2","Genesis 15:1-6;Psalm 33:12-22;Psalm 50:1-8,23-24;Isaiah 1:1,10-20;Luke 12:32-40;Hebrews 11:1-3,8-16"
Proper 15,"Genesis 45:1-15;Psalm 67;Psalm 133;Isaiah 56:1, 6-8;Matthew 15:(10-20),21-28;Romans 11:1-2a,29-32",1 Kings 2:10-12; 3:3-14;Psalm 34:9-14;Psalm 111;Proverbs 9:1-6;John 6:51-58;Ephesians 5:15-20,"Psalm 80:1-2,8-18;Psalm 82;Isaiah 5:1-7;Jeremiah 23:23-29;Luke 12:49-56;Hebrews 11:29—12:2"
Proper 16,Exodus 1:8—2:10;Psalm 124;Psalm 138;Isaiah 51:1-6;Matthew 16:13-20;Romans 12:1-8,"Joshua 24:1-2a,14-18;1 Kings 8:(1,6,10-11),22-30, 41-43;Psalm 34:15-22;Psalm 84;John 6:56-69;Ephesians 6:10-20",Psalm 71:1-6;Psalm 103:1-8;Isaiah 58:9b-14;Jeremiah 1:4-10;Luke 13:10-17;Hebrews 12:18-29
Proper 17,"Exodus 3:1-15;Psalm 26:1-8;Psalm 105:1-6,23-26,45c;Jeremiah 15:15-21;Matthew 16:21-28;Romans 12:9-21","Deuteronomy 4:1-2,6-9;Psalm 15;Psalm 45:1-2,7-10;Song of Solomon 2:8-13;Mark 7:1-8,14-15,21-23;James 1:17-27","Psalm 81:1,10-16;Psalm 112;Proverbs 25:6-7;Jeremiah 2:4-13;Sirach (Ecclesiasticus) 10:12-18;Luke 14:1,7-14;Hebrews 13:1-8,15-16"
Proper 18,Exodus 12:1-14;Psalm 119:33-40;Psalm 149;Ezekiel 33:7-11;Matthew 18:15-20;Romans 13:8-14,"Psalm 125;Psalm 146;Proverbs 22:1-2, 8-9,22-23;Isaiah 35:4-7a;Mark 7:24-37;James 2:1-10(11-13),14-17","Deuteronomy 30:15-20;Psalm 1;Psalm 139:1-5,12-17;Jeremiah 18:1-11;Luke 14:25-33;Philemon 1-21"
Proper 19,"Genesis 50:15-21;Exodus 14:19-31;Exodus 15:1b-11,20-21;Psalm 103:(1-7),8-13;Psalm 114;Matthew 18:21-35;Romans 14:1-12",Psalm 19;Psalm 116:1-8;Proverbs 1:20-33;Isaiah 50:4-9a;Wisdom of Solomon 7:26—8:1;Mark 8:27-38;James 3:1-12,"Exodus 32:7-14;Psalm 14;Psalm 51:1-11;Jeremiah 4:11-12,22-28;Luke 15:1-10;1 Timothy 1:12-17"
Proper 20,"Exodus 16:2-15;Psalm 105:1-6,37-45;Psalm 145:1-8;Jonah 3:10—4:11;Matthew 20:1-16;Philippians 1:21-30","Psalm 1;Psalm 54;Proverbs 31:10-31;Jeremiah 11:18-20;Wisdom of Solomon 1:16—2:1,12-22;Mark 9:30-37;James 3:13—4:3,7-8a",Psalm 79:1-9;Psalm 113;Jeremiah 8:18—9:1;Amos 8:4-7;Luke 16:1-13;1 Timothy 2:1-7
Proper 21,"Exodus 17:1-7;Psalm 25:1-8;Psalm 78:1-4,12-16;Ezekiel 18:1-4,25-32;Matthew 21:23-32;Philippians 2:1-13","Numbers 11:4-6,10-16,24-29;Esther 7:1-6,9-10; 9:20-22;Psalm 19:7-14;Psalm 124;Mark 9:38-50;James 5:13-20","Psalm 91:1-6,14-16;Psalm 146;Jeremiah 32:1-3a,6-15;Amos 6:1a,4-7;Luke 16:19-31;1 Timothy 6:6-19"
Proper 22,"Exodus 20:1-4,7-9, 12-20;Psalm 19;Psalm 80:7-14;Isaiah 5:1-7;Isaiah 5:1-7;Matthew 21:33-46;Philippians 3:4b-14",Genesis 2:18-24;Job 1:1;2:1-10;Psalm 8;Psalm 26;Mark 10:2-16;Hebrews 1:1-4; 2:5-12,"Psalm 37:1-10;Psalm 137;Lamentations 1:1-6;Lamentations 3:19-26;Habakkuk 1:1-4,2:1-4;Luke 17:5-10;2 Timothy 1:1-14"
Proper 23,"Exodus 32:1-14;Psalm 23;Psalm 106:1-6,19-23;Isaiah 25:1-9;Matthew 22:1-14;Philippians 4:1-9","Job 23:1-9,16-17;Psalm 22:1-15;Psalm 90:12-17;Amos 5:6-7,10-15;Mark 10:17-31;Hebrews 4:12-16","2 Kings 5:1-3,7-15c;Psalm 66:1-11;Psalm 111;Jeremiah 29:1,4-7;Luke 17:11-19;2 Timothy 2:8-15"
